DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Signal,WTI_Retorno_63d_lag3,Classe
-0.0015308749,0.17988518,-0.0033955537,0.0005344821,0.012109174,0.022219932,-0.10533182,-0.010469809,0.15252636,Venda
-0.008928536,0.17526367,-0.003073859,0.009810679,0.017238129,0.022254199,-0.09991497,-0.016221533,0.19252463,Venda
-0.118115105,0.17023058,-0.0041071633,0.011900877,0.017144239,0.01776726,-0.11961929,-0.07658972,0.0704853,Venda
-0.11087094,0.172572,-0.004362382,0.0064802347,0.012462659,-0.0029755922,-0.12282138,-0.019883273,0.077068,Venda
-0.089523666,0.16907851,-0.004001912,-0.0082904985,0.016259119,-0.0048500886,-0.11547332,-0.06466399,0.10477792,Venda
0.05717349,0.1635557,-0.0018159224,-0.04449831,0.010607666,-0.008648503,-0.030835308,0.24018902,0.2222538,Venda
0.107146814,0.11354692,-0.015089432,-0.059612397,-0.0045774896,-0.029085686,0.03705006,0.42313215,0.061721314,Venda
-0.06252996,0.06771881,-0.01504123,-0.02909753,0.0206351,-0.05425423,0.03848125,0.24752726,0.0008624682,Venda
-0.41581762,0.021886913,-0.0149258375,-0.09890891,-0.0034093282,-0.06176386,0.03910946,-0.39171585,-0.1897729,Venda
-0.40870205,0.00962794,-0.015444042,-0.13210225,-0.013362511,-0.062276438,0.033275012,-0.56122947,-0.20729597,Venda
-0.21984397,0.047338825,-0.014848838,-0.062382758,0.0045202966,-0.06946483,0.083111525,-0.062129837,-0.1785531,Venda
-0.18921165,0.04223378,-0.012385728,-0.0863995,0.016717212,-0.060632564,0.046150785,0.20354253,0.21028233,Venda
-0.1740217,0.06881496,-0.012902522,-0.09990486,0.015186931,-0.045246873,0.028784579,0.16543636,-0.03470619,Venda
-0.17330016,0.06429726,-0.01625798,-0.053143002,0.017410055,-0.055725828,0.044120234,0.23553182,-0.09415978,Venda
-0.08149829,0.092075914,-0.023431532,-0.016688928,-0.0016320212,-0.030058518,-0.04118007,0.3464713,0.03526751,Venda
-0.017414628,0.09018977,-0.022339378,0.02875738,-0.00017887153,-0.024428712,-0.04699899,0.24079397,0.08824997,Venda
-0.0058212867,0.11235288,-0.015963206,-0.05032345,-0.02795059,0.009769429,-0.031947006,0.5255792,0.21069093,Venda
-0.12596358,0.1318214,-0.010511656,-0.051705807,-0.02577498,0.0021640817,-0.036152955,0.26034766,0.09302583,Venda
-0.26362133,0.10973234,-0.011905064,-0.016535483,-0.024677271,0.010894899,-0.036327444,0.11707742,0.0679834,Venda
-0.33692148,0.094552696,-0.012644015,-0.036122005,-0.027054787,0.006599059,-0.041114334,0.1033121,0.06130688,Venda
-0.3652564,0.079483636,-0.011876791,-0.047696326,-0.029744433,0.008927071,-0.044431448,0.15015605,0.0021307708,Venda
-0.32440707,0.088913575,-0.0115492055,-0.031961646,-0.027234958,0.004675497,-0.034367163,0.1665736,0.29469183,Venda
-0.30604807,0.0651565,-0.0035489849,-0.03828839,0.00012100763,0.0018658241,-0.065567404,0.016050436,0.028969234,Venda
-0.31051585,0.06125492,-0.0039836257,-0.033313747,0.002740838,0.011143036,-0.08780441,0.03992699,0.012415072,Venda
-0.25436893,0.07639524,-0.0032962551,-0.024433862,0.004085883,0.017364673,-0.09159209,0.012069009,0.08968626,Venda
-0.23006667,0.081796095,-0.0029792665,-0.022998927,0.006033993,0.021125782,-0.09284409,-0.0037620715,0.1551879,Venda
-0.31046987,0.06563068,-0.002989783,-0.03839327,0.004408041,0.0083897365,-0.094835535,0.017766977,0.10850084,Venda
-0.25026053,0.0767903,-0.0019428505,-0.027627124,0.0059899976,0.011622607,-0.09488352,0.017158069,0.14391825,Venda
-0.21145406,0.08253155,-0.0012619342,-0.027826376,0.0065301126,0.016134677,-0.10702787,0.014676282,0.21971774,Venda
-0.20101786,0.067739025,-0.0012037904,-0.018700331,0.008234147,0.01697088,-0.08603653,0.009877055,0.21814552,Venda
-0.29347607,0.05978081,-0.0019451506,-0.023643823,0.007750162,0.020133788,-0.115549326,-0.046943884,0.120363444,Venda
-0.4105821,0.06109222,-0.0015906321,-0.014933385,0.009576398,0.022253554,-0.11058403,-0.037692565,-0.035399605,Venda
-0.19166899,0.06622232,-0.00028540732,-0.018929044,0.009743964,0.01814659,-0.115077056,-0.052427825,0.16378443,Venda
-0.2234838,0.059310634,-0.00026252735,-0.026672954,0.0040639346,0.014276343,-0.08712661,-0.000776972,0.1418728,Venda
-0.21028829,0.06077647,8.63344e-05,-0.028368706,0.0046362267,0.014385534,-0.10297756,-0.019648466,0.14214899,Venda
-0.20562455,0.06009926,0.0015513754,-0.022100853,0.005991069,0.018889586,-0.11592361,-0.04265337,0.18551762,Venda
-0.16166946,0.0668596,0.0007783751,-0.033412855,0.0045808125,0.011716912,-0.092551135,0.01671075,0.21628945,Venda
-0.26352087,0.037353188,0.00026513144,-0.044357892,-0.001903007,0.0075943186,-0.069004744,0.0070873946,0.021014087,Venda
-0.26352087,0.037353188,0.00026513144,-0.044357892,-0.001903007,0.0075943186,-0.069004744,0.0070873946,0.021014087,Venda
-0.26352087,0.037353188,0.00026513144,-0.044357892,-0.001903007,0.0075943186,-0.069004744,0.0070873946,0.021014087,Venda
-0.21289855,0.04761562,0.0007457882,-0.07596585,-0.00072535157,0.009063303,-0.10764051,0.00054820965,0.16663188,Venda
-0.283667,0.041334268,-0.0011755951,-0.049494456,0.0005763789,0.009200907,-0.08715743,-0.013677575,0.050246887,Venda
-0.2946013,0.028103376,-0.0023838268,-0.03239571,0.0031666916,0.0062019117,-0.07220515,-0.002188034,0.09339079,Venda
-0.2560493,0.05951949,-0.010376864,0.0009562112,-0.021312723,0.038199585,-0.038697593,0.14603832,0.11435458,Venda
-0.25050133,0.059899997,-0.010330985,0.0013599047,-0.021429725,0.03623264,-0.039651625,0.1457361,0.13005805,Venda
-0.23291431,0.056376077,-0.010700833,0.0041375984,-0.018875822,0.035007335,-0.03983279,0.14368328,0.16971202,Venda
-0.22648932,0.05739069,-0.010916818,0.0068219937,-0.018880386,0.038185753,-0.039422363,0.11625416,0.1625888,Venda
-0.2896824,0.05513624,-0.011983376,0.005313194,-0.01916813,0.040857617,-0.03781114,0.10042482,0.10171144,Venda
-0.30212384,0.063861266,-0.012363178,0.014860487,-0.020459324,0.030652968,-0.040992133,0.097211085,0.09948309,Venda
-0.22452773,0.07216402,-0.012471031,-0.01164167,-0.022123352,0.00914439,-0.041058432,0.11281645,0.17724663,Venda
-0.13995203,0.055316444,-0.019934045,-0.07202767,-0.036754563,-0.024441961,-0.050368138,0.30492538,0.08620784,Venda
-0.33822492,0.0026752374,-0.017931947,-0.08815756,-0.02692486,-0.017947929,-0.029021688,-0.20652704,0.03433317,Venda
